S100	S103	S115	S120
45	0	133	0
102	0	39	0
0	0	90	0
0	40	0	47
0	0	0	84
78	0	0	0
0	0	73	0
40	0	32	0
0	71	0	0
70	0	0	0
69	0	0	0
67	0	0	0
65	0	0	0
0	0	63	0
0	0	61	0
0	0	61	0
0	55	0	0
0	0	53	0
0	0	0	53
22	0	28	0
0	0	0	49
44	0	0	0
0	0	44	0
0	43	0	0
0	0	40	0
0	0	0	40
0	0	39	0
0	0	0	39
38	0	0	0
0	38	0	0
37	0	0	0
35	0	0	0
0	34	0	0
0	0	0	34
0	33	0	0
0	0	33	0
0	0	32	0
0	0	0	32
31	0	0	0
0	30	0	0
0	29	0	0
0	0	29	0
28	0	0	0
0	0	0	28
0	0	0	28
27	0	0	0
27	0	0	0
0	0	0	27
0	26	0	0
0	0	0	26
0	25	0	0
0	25	0	0
0	25	0	0
0	0	25	0
0	0	25	0
0	0	0	25
0	24	0	0
0	24	0	0
23	0	0	0
0	23	0	0
22	0	0	0
0	22	0	0
0	12	0	10
0	22	0	0
0	22	0	0
21	0	0	0
21	0	0	0
0	21	0	0
0	21	0	0
0	0	0	21
0	0	0	21
0	20	0	0
0	20	0	0
0	0	20	0
0	0	0	20
0	0	0	20
19	0	0	0
19	0	0	0
0	19	0	0
0	0	19	0
0	0	19	0
0	0	19	0
0	0	0	19
0	0	0	19
0	18	0	0
0	0	18	0
0	17	0	0
0	17	0	0
0	16	0	0
0	0	16	0
0	0	16	0
0	0	0	16
0	0	0	16
0	0	0	15
0	0	0	15
0	14	0	0
0	0	14	0
0	0	14	0
0	0	13	0
0	0	0	13
0	0	0	13
0	12	0	0
0	12	0	0
0	0	12	0
0	0	12	0
0	0	0	12
11	0	0	0
0	11	0	0
0	0	11	0
0	0	11	0
0	0	11	0
0	0	0	11
0	0	0	11
10	0	0	0
0	10	0	0
0	0	10	0
0	0	10	0
0	0	10	0
0	0	10	0
0	0	10	0
9	0	0	0
9	0	0	0
0	9	0	0
0	9	0	0
0	0	9	0
0	0	9	0
0	0	0	9
0	0	0	9
0	0	0	9
0	0	0	9
8	0	0	0
0	0	8	0
0	0	0	8
7	0	0	0
7	0	0	0
7	0	0	0
0	7	0	0
0	0	7	0
0	0	0	7
0	0	0	7
0	0	0	7
6	0	0	0
6	0	0	0
6	0	0	0
0	6	0	0
0	6	0	0
0	6	0	0
0	6	0	0
0	0	6	0
0	0	0	6
0	0	0	6
0	0	0	6
5	0	0	0
5	0	0	0
5	0	0	0
0	5	0	0
0	5	0	0
0	5	0	0
0	0	5	0
0	0	5	0
0	0	0	5
0	0	0	5
0	0	0	5
0	0	0	5
0	0	0	5
4	0	0	0
4	0	0	0
0	4	0	0
0	4	0	0
0	0	4	0
0	0	4	0
0	0	4	0
0	0	4	0
0	0	4	0
0	0	4	0
0	0	4	0
0	0	4	0
0	0	0	4
0	0	0	4
3	0	0	0
3	0	0	0
3	0	0	0
3	0	0	0
3	0	0	0
3	0	0	0
3	0	0	0
0	3	0	0
0	3	0	0
0	3	0	0
0	3	0	0
0	3	0	0
0	3	0	0
0	3	0	0
0	3	0	0
0	3	0	0
0	0	3	0
0	0	3	0
0	0	3	0
0	0	3	0
0	0	3	0
0	0	3	0
0	0	3	0
0	0	3	0
0	0	0	3
0	0	0	3
0	0	0	3
0	0	0	3
0	0	0	3
0	0	0	3
0	0	0	3
0	0	0	3
0	0	0	3
2	0	0	0
2	0	0	0
2	0	0	0
2	0	0	0
0	2	0	0
0	2	0	0
0	2	0	0
0	2	0	0
0	2	0	0
0	2	0	0
0	2	0	0
0	2	0	0
0	2	0	0
0	2	0	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	0	2
0	0	0	2
0	0	0	2
0	0	0	2
0	0	0	2
